virus,term,estimate,std.error,statistic,p.value,ind
h1pdm,logHImid,-0.5907256024419112,0.314754293584582,-1.876783302030379,0.0605477999523718,151
h1pdm,(Intercept),-1.6823806501802194,0.49322437023865157,-3.4109844356761663,6.472878630451469e-4,152
h1pdm,logHImid,-0.39913128777039997,0.17047112400627637,-2.3413425006554474,0.019214531137427087,152
h1pdm,(Intercept),-1.4895878341422457,0.5721297373736485,-2.6035840069774605,0.009225465569801892,153
h1pdm,logHImid,-0.6029579149580004,0.24042632129871758,-2.5078698193317015,0.012146140626692612,153
h1pdm,(Intercept),-1.5287260254058896,0.46624807627392806,-3.2787824833999726,0.0010425596164794202,154
h1pdm,logHImid,-0.44652840436961194,0.16406177375160422,-2.7217089889913844,0.006494530558373895,154
h1pdm,(Intercept),-1.9480371429944587,0.5244450553139601,-3.714473276572819,2.036273859192231e-4,156
h1pdm,logHImid,-0.35981254936393775,0.17428737992132684,-2.0644785039878206,0.03897236996207075,156
h1pdm,(Intercept),-0.9138253253737668,0.5223360279051921,-1.7494970221346344,0.08020514309576737,157
h1pdm,logHImid,-0.7153570124528338,0.22827626478276036,-3.1337336500297344,0.00172597445743839,157
h1pdm,(Intercept),-1.1612468796189177,0.6428811878116911,-1.8063164728333334,0.07086892020605914,158
h1pdm,logHImid,-0.7620903304464576,0.29421500929692906,-2.590249669000867,0.009590634642458452,158
h1pdm,(Intercept),-0.7838382035316808,0.6005842610415254,-1.3051261153137093,0.19184990749857028,159
h1pdm,logHImid,-0.8483427133089392,0.28957401481822476,-2.929623066632799,0.0033937339707466744,159
h1pdm,(Intercept),-0.8051516837373217,0.5786914751609948,-1.3913315096154208,0.1641249230676494,160
h1pdm,logHImid,-0.8335626031860588,0.2702528569557696,-3.084380356143588,0.0020397663410294045,160
h1pdm,(Intercept),-1.428885497756098,0.5775028865604093,-2.474248234959481,0.013351688957891896,161
h1pdm,logHImid,-0.6243782868634328,0.243226197311033,-2.567068406965183,0.010256237696757388,161
h1pdm,(Intercept),-1.5798494691752556,0.6083291472309631,-2.5970306968957995,0.009403352006724581,162
h1pdm,logHImid,-0.6168366300159831,0.2493579642254592,-2.4736993339353095,0.013372218269716405,162
h1pdm,(Intercept),-1.138146129461316,0.5618697394183164,-2.0256405526298638,0.042801632687891424,163
h1pdm,logHImid,-0.6943678648225091,0.24785879828797797,-2.801465469931589,0.005087108489392079,163
h1pdm,(Intercept),-0.10603526862085783,0.7144061767183595,-0.14842434468852603,0.8820078885681021,164
h1pdm,logHImid,-1.1100024418752945,0.38531658506873917,-2.880754384546603,0.0039672466460450116,164
h1pdm,(Intercept),-1.3400603400181939,0.639399204467097,-2.0958117098926614,0.036098897177573516,165
h1pdm,logHImid,-0.7127590584531893,0.292869874151104,-2.433705619327192,0.014945144280269695,165
h1pdm,(Intercept),-1.280084024190264,0.4522663456743169,-2.830376472699275,0.004649326074698115,166
h1pdm,logHImid,-0.4850876011874936,0.16558829266056851,-2.929480058000546,0.0033952959870198426,166
h1pdm,(Intercept),-0.07505965290729986,0.7163398306109704,-0.10478218535367641,0.9165486462522073,167
h1pdm,logHImid,-1.1064694088213227,0.38339346811567193,-2.8859892012753194,0.0039018554479260206,167
h1pdm,(Intercept),-0.7186939415694066,0.46666889706878456,-1.5400510856490075,0.12354790152728534,169
h1pdm,logHImid,-0.6823354184692616,0.1906947917514541,-3.5781544540482115,3.4602895691860166e-4,169
h1pdm,(Intercept),-1.7599741119023902,0.613580597805172,-2.868366630558335,0.004125971101318164,170
